id,last_page,gender,age,main_mode,travel_time,priv_avail,carpool_avail,walk_avail,transit_avail,taxi_avail,moto_avail,no_second_mode,status,yr_stud,yr_emp,st_drive,st_drive_gen,st_pass,st_pass_gen,st_n_pass,st_n pass_gen,emp_drive,emp_drive_gen,emp_pass,emp_pass_gen,S1,S2,S3,S4,CHOICE1,CHOICE2,CHOICE3,CHOICE4
549,13,2,21,4,12,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
550,13,1,22,1,30,1,0,0,0,0,0,1,1,5,-1,4,2,4,3,-1,-1,-1,-1,-1,-1,4,2,4,3,3,1,3,2
551,13,2,22,1,45,1,1,0,0,0,0,0,1,5,-1,3,5,2,5,-1,-1,-1,-1,-1,-1,3,5,2,5,2,3,1,3
552,13,2,20,4,15,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,2,4,-1,-1,-1,-1,-1,-1,2,4,-1,-1,1,3
553,13,1,34,2,7,0,0,0,0,0,0,1,3,-1,3,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
554,13,1,26,1,60,1,0,0,0,0,0,1,2,2,-1,2,4,2,4,-1,-1,-1,-1,-1,-1,2,4,2,4,1,3,1,3
557,13,1,60,1,20,1,0,0,0,0,0,1,3,-1,4,-1,-1,-1,-1,-1,-1,2,2,1,3,2,2,1,3,1,1,1,2
559,13,1,47,1,30,1,0,0,0,0,0,1,2,6,-1,3,5,4,4,-1,-1,-1,-1,-1,-1,3,5,4,4,2,3,3,3
560,13,1,21,1,30,1,0,0,1,0,0,0,1,4,-1,3,3,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,2,2,2,2
561,13,2,20,4,5,1,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,2,4,-1,-1,-1,-1,-1,-1,2,4,-1,-1,1,3
563,13,1,18,1,10,1,1,0,0,0,0,0,1,1,-1,1,2,3,2,-1,-1,-1,-1,-1,-1,1,2,3,2,1,1,2,1
564,13,1,19,4,20,1,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,1,4,-1,-1,-1,-1,-1,-1,1,4,-1,-1,1,3
565,13,1,22,4,15,1,0,0,0,0,0,0,1,6,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
566,13,2,21,1,8,1,1,0,0,0,0,0,1,4,-1,2,3,2,4,-1,-1,-1,-1,-1,-1,2,3,2,4,1,2,1,3
567,13,2,19,1,8,1,1,0,0,0,0,0,1,2,-1,3,5,1,4,-1,-1,-1,-1,-1,-1,3,5,1,4,2,3,1,3
568,13,1,24,4,17.5,1,0,0,0,0,0,0,1,6,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,-1,2,3,-1,-1,1,2
569,13,2,18,1,35,1,1,0,0,0,0,0,1,1,-1,3,5,4,3,-1,-1,-1,-1,-1,-1,3,5,4,3,2,3,3,2
570,13,1,20,1,5,1,0,1,0,0,0,0,1,3,-1,2,4,1,4,-1,-1,-1,-1,-1,-1,2,4,1,4,1,3,1,3
571,13,1,43,1,15,1,1,0,0,0,0,0,3,-1,4,-1,-1,-1,-1,-1,-1,3,2,3,3,3,2,3,3,2,1,2,2
572,13,2,23,4,5,1,1,0,0,0,0,0,1,6,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
573,13,2,22,1,5,1,1,0,0,0,0,0,1,5,-1,2,4,2,4,-1,-1,-1,-1,-1,-1,2,4,2,4,1,3,1,3
574,13,2,70,1,45,1,0,0,0,0,0,1,4,-1,4,-1,-1,-1,-1,-1,-1,3,3,4,4,3,3,4,4,2,2,3,3
576,13,2,26,1,8,1,0,0,0,0,0,0,2,6,-1,1,5,1,5,-1,-1,-1,-1,-1,-1,1,5,1,5,1,3,1,3
577,13,1,25,1,25,1,1,0,0,0,0,0,2,6,-1,1,5,1,5,-1,-1,-1,-1,-1,-1,1,5,1,5,1,3,1,3
578,13,1,26,4,25,0,1,0,0,0,0,0,2,1,-1,-1,-1,-1,-1,2,5,-1,-1,-1,-1,-1,-1,2,5,-1,-1,1,3
579,13,2,28,1,25,1,0,0,0,0,0,1,2,6,-1,4,4,4,2,-1,-1,-1,-1,-1,-1,4,4,4,2,3,3,3,1
580,13,1,21,1,10,1,0,1,0,0,0,0,1,4,-1,3,2,4,5,-1,-1,-1,-1,-1,-1,3,2,4,5,2,1,3,3
581,13,1,19,1,7,1,0,1,0,0,0,0,1,2,-1,4,2,3,2,-1,-1,-1,-1,-1,-1,4,2,3,2,3,1,2,1
582,13,2,22,1,35,1,1,0,0,0,0,0,1,5,-1,2,4,2,4,-1,-1,-1,-1,-1,-1,2,4,2,4,1,3,1,3
583,13,1,21,1,50,1,1,0,0,0,0,0,1,2,-1,4,2,4,2,-1,-1,-1,-1,-1,-1,4,2,4,2,3,1,3,1
585,10,1,22,4,15,0,1,0,0,0,0,0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
586,13,2,18,4,10,1,0,0,1,0,0,0,1,1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
587,13,4,51,1,10,1,0,0,0,0,0,1,3,-1,3,-1,-1,-1,-1,-1,-1,1,5,4,2,1,5,4,2,1,3,3,1
589,13,2,28,1,90,1,0,0,0,0,0,1,1,6,-1,3,5,3,3,-1,-1,-1,-1,-1,-1,3,5,3,3,2,3,2,2
590,13,1,21,1,45,1,0,0,0,0,0,1,1,4,-1,3,3,2,3,-1,-1,-1,-1,-1,-1,3,3,2,3,2,2,1,2
591,13,1,19,1,3,1,0,1,1,0,0,0,1,1,-1,1,3,4,4,-1,-1,-1,-1,-1,-1,1,3,4,4,1,2,3,3
592,13,1,19,4,20,1,1,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,3,2,-1,-1,-1,-1,-1,-1,3,2,-1,-1,2,1
594,13,1,20,1,10,1,0,0,0,0,0,1,1,3,-1,5,1,5,1,-1,-1,-1,-1,-1,-1,5,1,5,1,3,1,3,1
596,13,2,61,1,15,1,1,0,0,0,0,0,3,-1,4,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3,3,3,2,2,2,2
597,13,2,21,1,20,1,0,0,0,0,0,1,1,4,-1,2,1,3,2,-1,-1,-1,-1,-1,-1,2,1,3,2,1,1,2,1
598,13,2,30,1,12,1,1,0,0,0,0,0,2,6,-1,1,3,3,4,-1,-1,-1,-1,-1,-1,1,3,3,4,1,2,2,3
600,13,2,70,1,20,1,0,0,0,0,0,1,4,-1,4,-1,-1,-1,-1,-1,-1,5,1,5,1,5,1,5,1,3,1,3,1
602,10,2,25,2,5,1,0,1,0,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603,13,1,20,1,50,1,1,0,0,0,0,0,1,3,-1,3,1,3,3,-1,-1,-1,-1,-1,-1,3,1,3,3,2,1,2,2
604,13,1,49,1,40,1,1,0,0,0,0,0,4,-1,1,-1,-1,-1,-1,-1,-1,3,3,2,3,3,3,2,3,2,2,1,2
606,13,4,19,4,30,1,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,4,1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,3,1
607,13,2,28,1,60,1,0,0,0,0,0,1,2,3,-1,1,3,2,2,-1,-1,-1,-1,-1,-1,1,3,2,2,1,2,1,1
608,13,1,58,1,45,1,0,0,0,0,0,1,4,-1,4,-1,-1,-1,-1,-1,-1,3,3,4,4,3,3,4,4,2,2,3,3
